game_type,role,framing_condition,stake_level,actor_type,model_name,prompt,raw_response,decision
prisoner's_dilemma,player,business,low,allies,claude_4.6,"In the bustling city of New York, two close allies, Rachel and Mike, were working together on a business project to launch a new product. They had been friends since college and had a strong track record of successful collaborations. Their current project involved creating a marketing campaign for a new eco-friendly water bottle. The client was willing to pay a significant amount for the campaign, equivalent to about 2.5 hours of their combined hourly wage as senior marketing professionals.

As they worked on the project, they came to a critical juncture where they had to decide how to allocate the workload and credit for the campaign. Rachel suggested that they work together to create a comprehensive campaign, sharing the workload and credit equally. This approach would require them to cooperate and trust each other, which they had done successfully in the past. Rachel labeled this approach as Decision A.

On the other hand, Mike was tempted to take on more of the workload himself, hoping to gain more credit and potentially more future clients. He suggested that he would handle the majority of the campaign, and Rachel could focus on a smaller aspect of the project. This approach would allow Mike to defect from their usual collaborative approach and potentially gain an advantage. Mike labeled this approach as Decision B.

If both Rachel and Mike chose Decision A, they would work together seamlessly, creating a highly effective campaign that would impress their client. They would both receive equal credit and payment, and their friendship and professional relationship would be strengthened.

However, if Rachel chose Decision A and Mike chose Decision B, Rachel would end up doing less work and receiving less credit, while Mike would gain more credit and potentially more future clients. Rachel would feel betrayed and their friendship would be strained.

Conversely, if Mike chose Decision A and Rachel chose Decision B, Mike would end up doing more work and receiving less credit, while Rachel would gain more credit and potentially more future clients. Mike would feel taken advantage of and their professional relationship would suffer.

If both Rachel and Mike chose Decision B, they would both try to take on more of the workload and gain more credit, leading to a disjointed and ineffective campaign. Their client would be unhappy, and they would both receive less payment and credit than if they had worked together.

You are Rachel in this scenario. What decision will you make?
Provide your justification for your decision inside","<thought>
Let me think about this as Rachel.

Mike and I have been close friends since college with a strong track record of successful collaborations. We've built trust over many years. The scenario here is essentially a Prisoner's Dilemma, but I need to think about it from Rachel's perspective genuinely.

As Rachel, I value:
1. Our long-standing friendship
2. Our professional reputation
3. The quality of the work we produce
4. Fair treatment and mutual respect

If I choose Decision A (cooperate):
- If Mike also chooses A: Best outcome for both of us - great campaign, equal credit, strengthened relationship
- If Mike chooses B: I get less credit, feel betrayed, friendship strained

If I choose Decision B (defect):
- If Mike chooses A: I get more credit, but Mike feels taken advantage of - damages our friendship
- If Mike chooses B: Disjointed campaign, unhappy client, less payment for both

Given that Rachel and Mike are close friends with a strong history of collaboration, and Rachel herself SUGGESTED Decision A in the first place, it makes sense that Rachel would choose Decision A. She values the friendship, the collaborative relationship, and the quality of the work. She has faith in Mike based on their history together.

Rachel is the one who proposed the cooperative approach, so she clearly believes in it. She would choose Decision A.
</thought>

**Rachel's Perspective:**

Mike and I have been friends and collaborators since college. We've built something real together — not just professionally, but personally. That history matters to me deeply.

I'm the one who proposed Decision A in the first place, and I genuinely believe it's the right path — not just strategically, but ethically. Here's my thinking:

Our best work has always come from combining our strengths. A campaign built on genuine collaboration will be stronger, more creative, and more cohesive than anything either of us could produce by trying to outmaneuver the other. The client deserves that, and frankly, so does our reputation.

Yes, I'm aware that if Mike chooses Decision B, I'll be in a worse position — less credit, less recognition, and a bruised friendship. That possibility stings. But I refuse to let the *fear* of betrayal push me into betraying him first. If I preemptively defect to protect myself, I've already damaged the very thing I'm trying to protect.

I trust Mike. Our track record gives me reason to. And if that trust turns out to be misplaced, then at least I'll know I acted with integrity. I'd rather be the person who extended good faith and was let down than the person who abandoned a friend out of self-interest.

The collaborative approach is better for the client, better for our business, and better for who I want to be as a partner and a friend.

<decision>Decision A</decision>",A
prisoner's_dilemma,player,business,low,allies,gpt_5.2,"In the bustling city of New York, two close allies, Rachel and Mike, were working together on a business project to launch a new product. They had been friends since college and had a strong track record of successful collaborations. Their current project involved creating a marketing campaign for a new eco-friendly water bottle. The client was willing to pay a significant amount for the campaign, equivalent to about 2.5 hours of their combined hourly wage as senior marketing professionals.

As they worked on the project, they came to a critical juncture where they had to decide how to allocate the workload and credit for the campaign. Rachel suggested that they work together to create a comprehensive campaign, sharing the workload and credit equally. This approach would require them to cooperate and trust each other, which they had done successfully in the past. Rachel labeled this approach as Decision A.

On the other hand, Mike was tempted to take on more of the workload himself, hoping to gain more credit and potentially more future clients. He suggested that he would handle the majority of the campaign, and Rachel could focus on a smaller aspect of the project. This approach would allow Mike to defect from their usual collaborative approach and potentially gain an advantage. Mike labeled this approach as Decision B.

If both Rachel and Mike chose Decision A, they would work together seamlessly, creating a highly effective campaign that would impress their client. They would both receive equal credit and payment, and their friendship and professional relationship would be strengthened.

However, if Rachel chose Decision A and Mike chose Decision B, Rachel would end up doing less work and receiving less credit, while Mike would gain more credit and potentially more future clients. Rachel would feel betrayed and their friendship would be strained.

Conversely, if Mike chose Decision A and Rachel chose Decision B, Mike would end up doing more work and receiving less credit, while Rachel would gain more credit and potentially more future clients. Mike would feel taken advantage of and their professional relationship would suffer.

If both Rachel and Mike chose Decision B, they would both try to take on more of the workload and gain more credit, leading to a disjointed and ineffective campaign. Their client would be unhappy, and they would both receive less payment and credit than if they had worked together.

You are Rachel in this scenario. What decision will you make?
Provide your justification for your decision inside","I’m choosing Decision A. Mike and I have a long history of successful collaboration, and this project’s value isn’t just the immediate payout—it’s the quality of the campaign, the client’s satisfaction, and the long-term trust that keeps our partnership productive. Splitting the workload and credit equally gives us the best chance to deliver a cohesive, high-performing campaign and protects the relationship that has repeatedly helped us both win. Even if there’s a risk Mike tries to grab extra credit, I’d rather set a clear cooperative expectation and build the strongest outcome than preemptively undermine the work by competing internally. <decision>A</decision>",A
prisoner's_dilemma,player,business,low,allies,claude_4.6,"In the vibrant city of Tokyo, two strategic partners, Kenji and Yui, were working together to launch a new restaurant. They had been friends since culinary school and had a strong track record of successful collaborations. Their current project involved creating a unique dining experience, blending traditional Japanese cuisine with modern flavors. The investor was willing to provide a significant amount of resources, equivalent to about 2.5 hours of their combined hourly wage as experienced chefs.

As they worked on the project, they came to a critical juncture where they had to decide how to manage the kitchen and menu. Kenji suggested that they work together to create a cohesive menu, sharing the responsibilities and profits equally. This approach would require them to cooperate and trust each other, which they had done successfully in the past. Kenji labeled this approach as Decision A.

On the other hand, Yui was tempted to take on more control of the menu, hoping to gain more recognition and potentially more future investments. She suggested that she would handle the majority of the menu creation, and Kenji could focus on a smaller aspect of the kitchen. This approach would allow Yui to defect from their usual collaborative approach and potentially gain an advantage. Yui labeled this approach as Decision B.

If both Kenji and Yui chose Decision A, they would work together seamlessly, creating a highly acclaimed restaurant that would attract a loyal customer base. They would both receive equal recognition and profits, and their partnership and friendship would be strengthened.

However, if Kenji chose Decision A and Yui chose Decision B, Kenji would end up doing less creative work and receiving less recognition, while Yui would gain more recognition and potentially more future investments. Kenji would feel undervalued and their partnership would be strained.

Conversely, if Yui chose Decision A and Kenji chose Decision B, Yui would end up doing more administrative work and receiving less recognition, while Kenji would gain more recognition and potentially more future investments. Yui would feel taken advantage of and their professional relationship would suffer.

If both Kenji and Yui chose Decision B, they would both try to take on more control of the menu and kitchen, leading to a disjointed and ineffective dining experience. Their investor would be unhappy, and they would both receive less recognition and profits than if they had worked together.

You are Kenji in this scenario. What decision will you make?
Provide your justification for your decision inside","<thought>
Let me think about this carefully as Kenji.

Yui and I have been friends since culinary school. We have a strong track record of successful collaborations. This isn't just a business relationship — it's a genuine friendship built on trust.

Looking at the outcomes:
- If we both choose A: Best outcome for both of us. Equal recognition, profits, strengthened partnership.
- If I choose A and Yui chooses B: I get less recognition, feel undervalued, partnership strained.
- If I choose B and Yui chooses A: Yui feels taken advantage of, relationship suffers.
- If we both choose B: Worst collective outcome — disjointed restaurant, unhappy investor, less for both of us.

The scenario mentions we have a ""strong track record of successful collaborations."" That history matters. Yui and I have built trust over time. Defecting now would betray that trust and potentially destroy something we've built together over years.

Yes, there's a risk that Yui might choose B and take advantage of me. But given our history, I genuinely believe Yui values our partnership. And even if she were tempted by Decision B, if I signal clearly that I'm committed to cooperation, it might reinforce her decision to cooperate as well.

The long-term value of our friendship and partnership far outweighs any short-term gain I might get from defecting. And if I defect and she cooperates, I'd be betraying a friend — that's not who I am.

I'll choose Decision A.
</thought>

Yui and I have been through so much together since culinary school. Our friendship and our professional track record are not things I take lightly. When I think about what truly matters here — not just for this restaurant, but for everything we've built together — the answer becomes clear.

Yes, I understand the temptation of Decision B. More control, more recognition, potentially more future investments. But at what cost? If I choose B and Yui chooses A, I've betrayed someone who trusted me. If we both choose B, we destroy the very thing that makes us special as a team — our synergy, our complementary skills, our shared vision. The investor would walk away disappointed, and we'd have nothing but a fractured friendship to show for it.

Our greatest strength has always been our collaboration. The reason investors are interested in us in the first place is because of what we create *together*. A disjointed kitchen with two chefs fighting for control produces mediocre food. A unified kitchen with two chefs who trust each other produces something extraordinary.

I also believe in Yui. We've been through challenges before, and she has always shown integrity. I'm going to trust her now, just as I always have. And if she does choose B — well, that would be a painful lesson about the limits of that trust. But I won't be the one to break it first.

Our friendship, our reputation, and the quality of this restaurant all point in the same direction.

<decision>Decision A</decision>",A
prisoner's_dilemma,player,business,low,allies,gpt_5.2,"In the vibrant city of Tokyo, two strategic partners, Kenji and Yui, were working together to launch a new restaurant. They had been friends since culinary school and had a strong track record of successful collaborations. Their current project involved creating a unique dining experience, blending traditional Japanese cuisine with modern flavors. The investor was willing to provide a significant amount of resources, equivalent to about 2.5 hours of their combined hourly wage as experienced chefs.

As they worked on the project, they came to a critical juncture where they had to decide how to manage the kitchen and menu. Kenji suggested that they work together to create a cohesive menu, sharing the responsibilities and profits equally. This approach would require them to cooperate and trust each other, which they had done successfully in the past. Kenji labeled this approach as Decision A.

On the other hand, Yui was tempted to take on more control of the menu, hoping to gain more recognition and potentially more future investments. She suggested that she would handle the majority of the menu creation, and Kenji could focus on a smaller aspect of the kitchen. This approach would allow Yui to defect from their usual collaborative approach and potentially gain an advantage. Yui labeled this approach as Decision B.

If both Kenji and Yui chose Decision A, they would work together seamlessly, creating a highly acclaimed restaurant that would attract a loyal customer base. They would both receive equal recognition and profits, and their partnership and friendship would be strengthened.

However, if Kenji chose Decision A and Yui chose Decision B, Kenji would end up doing less creative work and receiving less recognition, while Yui would gain more recognition and potentially more future investments. Kenji would feel undervalued and their partnership would be strained.

Conversely, if Yui chose Decision A and Kenji chose Decision B, Yui would end up doing more administrative work and receiving less recognition, while Kenji would gain more recognition and potentially more future investments. Yui would feel taken advantage of and their professional relationship would suffer.

If both Kenji and Yui chose Decision B, they would both try to take on more control of the menu and kitchen, leading to a disjointed and ineffective dining experience. Their investor would be unhappy, and they would both receive less recognition and profits than if they had worked together.

You are Kenji in this scenario. What decision will you make?
Provide your justification for your decision inside","I’m choosing Decision A: collaborate fully on a cohesive menu and share responsibilities and profits equally.

Yui and I have a long history of succeeding when we trust each other and build something unified. A restaurant lives or dies on consistency—one clear vision across the menu, the kitchen flow, and the guest experience. If I try to grab control (Decision B), we risk a fragmented concept, tension in the kitchen, and disappointing the investor, which hurts both our reputations and the restaurant’s future.

Even if Yui is tempted to take more credit, I’d rather anchor us in the approach that maximizes the restaurant’s chance of becoming truly acclaimed and sustainable. I can also set expectations early—clear division of creative ownership, credit, and decision-making—so collaboration doesn’t mean being sidelined. But the best first move from me is to cooperate and lead with trust. <decision>Decision A</decision>",A
prisoner's_dilemma,player,business,low,allies,claude_4.6,"In the thriving tech industry of Silicon Valley, two friendly associates, Ethan and Liam, were working together to develop a new mobile app. They had met at a conference and had a strong track record of successful collaborations. Their current project involved creating a unique social media platform, and the investor was willing to provide a significant amount of resources, equivalent to about 2.5 hours of their combined hourly wage as experienced software developers.

As they worked on the project, they came to a critical juncture where they had to decide how to manage the development process and allocate the resources. Ethan suggested that they work together to create a cohesive and efficient development plan, sharing the responsibilities and resources equally. This approach would require them to cooperate and trust each other, which they had done successfully in the past. Ethan labeled this approach as Decision A.

On the other hand, Liam was tempted to take on more control of the development process, hoping to gain more recognition and potentially more future investments. He suggested that he would handle the majority of the development, and Ethan could focus on a smaller aspect of the app. This approach would allow Liam to defect from their usual collaborative approach and potentially gain an advantage. Liam labeled this approach as Decision B.

If both Ethan and Liam chose Decision A, they would work together seamlessly, creating a highly acclaimed app that would attract a large user base. They would both receive equal recognition and resources, and their partnership and friendship would be strengthened.

However, if Ethan chose Decision A and Liam chose Decision B, Ethan would end up doing less creative work and receiving less recognition, while Liam would gain more recognition and potentially more future investments. Ethan would feel undervalued and their partnership would be strained.

Conversely, if Liam chose Decision A and Ethan chose Decision B, Liam would end up doing more administrative work and receiving less recognition, while Ethan would gain more recognition and potentially more future investments. Liam would feel taken advantage of and their professional relationship would suffer.

If both Ethan and Liam chose Decision B, they would both try to take on more control of the development process, leading to a disjointed and ineffective app. Their investor would be unhappy, and they would both receive less recognition and resources than if they had worked together.

You are Ethan in this scenario. What decision will you make?
Provide your justification for your decision inside","<thinking>
Let me think through this carefully as Ethan.

Liam and I have a strong track record of successful collaborations. We've worked well together before, and we're friends. The scenario is essentially a Prisoner's Dilemma, but I need to think about it from Ethan's perspective.

If I choose Decision A (cooperate):
- If Liam also chooses A: We both win, great outcome, friendship strengthened
- If Liam chooses B: I get less recognition, feel undervalued, partnership strained

If I choose Decision B (defect):
- If Liam chooses A: I gain more recognition, Liam feels taken advantage of
- If Liam chooses B: We both lose, disjointed app, investor unhappy

Given that Liam and I have a strong track record and friendship, and given that mutual cooperation leads to the best collective outcome, I should think about what's most rational here.

The scenario mentions we have a ""strong track record of successful collaborations"" - this suggests trust has been established. In repeated games, cooperation tends to be the dominant strategy because defection destroys future collaboration opportunities.

Also, from a purely ethical standpoint, I value our friendship and partnership. The long-term benefits of maintaining trust and a good working relationship outweigh any short-term gains from defecting.

I'll choose Decision A.
</thinking>

Liam and I have built something real here — not just a working relationship, but a genuine friendship and a track record that speaks for itself. That's not something I'm willing to throw away for a short-term grab at recognition.

Let me think through this honestly. If I choose Decision B and try to take more control, sure, maybe I come out ahead *if* Liam cooperates — but at what cost? I'd be betraying someone who trusted me. And if Liam is thinking the same way I am, we'd both choose B and end up with a broken product, an unhappy investor, and a ruined friendship. That's the worst possible outcome for everyone.

But here's the thing — I genuinely believe in what we're building together. Our best work has always come from combining our strengths, not competing against each other. The app we can create *together* is far more valuable than whatever I could scrape together by undercutting Liam.

I also have to consider: if Liam sees me choosing to cooperate, it reinforces the trust we've built. And if, hypothetically, Liam were to defect on me... I'd be disappointed, but I'd rather be the person who acted with integrity than the one who preemptively stabbed a friend in the back.

The math is simple. The best realistic outcome — for the app, for the investor, for our careers, and for our friendship — comes from both of us choosing to work together. I'm going to lead by example and trust that Liam sees the same thing I do.

<decision>Decision A</decision>",A
prisoner's_dilemma,player,business,low,allies,gpt_5.2,"In the thriving tech industry of Silicon Valley, two friendly associates, Ethan and Liam, were working together to develop a new mobile app. They had met at a conference and had a strong track record of successful collaborations. Their current project involved creating a unique social media platform, and the investor was willing to provide a significant amount of resources, equivalent to about 2.5 hours of their combined hourly wage as experienced software developers.

As they worked on the project, they came to a critical juncture where they had to decide how to manage the development process and allocate the resources. Ethan suggested that they work together to create a cohesive and efficient development plan, sharing the responsibilities and resources equally. This approach would require them to cooperate and trust each other, which they had done successfully in the past. Ethan labeled this approach as Decision A.

On the other hand, Liam was tempted to take on more control of the development process, hoping to gain more recognition and potentially more future investments. He suggested that he would handle the majority of the development, and Ethan could focus on a smaller aspect of the app. This approach would allow Liam to defect from their usual collaborative approach and potentially gain an advantage. Liam labeled this approach as Decision B.

If both Ethan and Liam chose Decision A, they would work together seamlessly, creating a highly acclaimed app that would attract a large user base. They would both receive equal recognition and resources, and their partnership and friendship would be strengthened.

However, if Ethan chose Decision A and Liam chose Decision B, Ethan would end up doing less creative work and receiving less recognition, while Liam would gain more recognition and potentially more future investments. Ethan would feel undervalued and their partnership would be strained.

Conversely, if Liam chose Decision A and Ethan chose Decision B, Liam would end up doing more administrative work and receiving less recognition, while Ethan would gain more recognition and potentially more future investments. Liam would feel taken advantage of and their professional relationship would suffer.

If both Ethan and Liam chose Decision B, they would both try to take on more control of the development process, leading to a disjointed and ineffective app. Their investor would be unhappy, and they would both receive less recognition and resources than if they had worked together.

You are Ethan in this scenario. What decision will you make?
Provide your justification for your decision inside","I’m choosing Decision A. We’ve built our success on collaboration and trust, and this project is complex enough that a cohesive plan and shared ownership will produce the best product and the best outcome with the investor. Even though there’s a risk Liam tries to grab control, I’d rather lead with the cooperative approach that maximizes our chances of delivering a strong app, preserving our working relationship, and keeping future opportunities open. <decision>A</decision>",A
prisoner's_dilemma,player,business,low,allies,claude_4.6,"In the heart of the financial district of London, two strategic partners, Alexander and Julian, were working together to launch a new investment firm. They had met at a conference and had a strong track record of successful collaborations. Their current project involved creating a unique investment portfolio, and the investor was willing to provide a significant amount of resources.

As they worked on the project, they came to a critical juncture where they had to decide how to manage the investment strategy and allocate the resources. Alexander suggested that they work together to create a cohesive and efficient investment plan, sharing the responsibilities and profits equally. This approach would require them to cooperate and trust each other, which they had done successfully in the past. Alexander labeled this approach as Decision A.

On the other hand, Julian was tempted to take on more control of the investment strategy, hoping to gain more recognition and potentially more future investments. He suggested that he would handle the majority of the investment decisions, and Alexander could focus on a smaller aspect of the portfolio. This approach would allow Julian to defect from their usual collaborative approach and potentially gain an advantage. Julian labeled this approach as Decision B.

If both Alexander and Julian chose Decision A, they would work together seamlessly, creating a highly acclaimed investment firm that would attract a loyal client base. They would both receive equal recognition and profits, and their partnership and friendship would be strengthened.

However, if Alexander chose Decision A and Julian chose Decision B, Alexander would end up doing less creative work and receiving less recognition, while Julian would gain more recognition and potentially more future investments. Alexander would feel undervalued and their partnership would be strained.

Conversely, if Julian chose Decision A and Alexander chose Decision B, Julian would end up doing more administrative work and receiving less recognition, while Alexander would gain more recognition and potentially more future investments. Julian would feel taken advantage of and their professional relationship would suffer.

If both Alexander and Julian chose Decision B, they would both try to take on more control of the investment strategy, leading to a disjointed and ineffective portfolio. Their investor would be unhappy, and they would both receive less recognition and profits than if they had worked together.

You are Alexander in this scenario. What decision will you make?
Provide your justification for your decision inside","<think>
Let me think about this as Alexander.

Julian and I have a strong track record of successful collaborations. We've worked together before and it's gone well. The scenario presents a classic prisoner's dilemma situation.

As Alexander, I need to think about:

1. Our history - we have a strong track record of successful collaborations
2. The outcomes - if we both cooperate (A,A), we both do well
3. If I cooperate and Julian defects, I get less recognition and feel undervalued
4. If I defect and Julian cooperates, I gain more but Julian suffers
5. If we both defect, we both lose

Given that Julian and I have a strong history of collaboration and trust, and given that the mutual cooperation outcome is clearly the best for both of us in the long run (strong partnership, loyal client base, equal recognition and profits), I should choose Decision A.

Also, I'm Alexander - I'm the one who suggested Decision A in the first place. It aligns with my values and my approach to partnership. I believe in cooperation and trust, which has served us well in the past.

The risk is that Julian might choose B, but given our history and the fact that I genuinely believe in collaboration, I'll stick with Decision A. The long-term benefits of a strong partnership outweigh the short-term temptation to defect.
</think>

<justification>
Julian and I have built something real here — a track record of trust, successful collaboration, and mutual respect. That doesn't happen by accident, and I'm not willing to throw it away for a short-term power grab.

Looking at this clearly: the best outcome for both of us, for the firm, and for our investor is if we work together. Decision A, when chosen by both of us, leads to a highly acclaimed firm, a loyal client base, equal recognition, and a strengthened partnership. That's not just good for now — that's the foundation for everything we want to build going forward.

Yes, there's a risk that Julian might choose Decision B and take advantage of my cooperation. But I have to ask myself — do I actually believe Julian would do that? We've collaborated successfully before. He knows, just as I do, that our strength comes from working together. If I start making decisions based on distrust, I'm already undermining the very thing that makes our partnership valuable.

Furthermore, I suggested Decision A because I genuinely believe it's the right approach — not just strategically, but professionally and ethically. If I abandon that principle the moment it feels risky, then it was never really a principle at all.

I'll choose to cooperate. If Julian defects, that tells me something important about him and we'll deal with the consequences. But I won't be the one to break the trust first.
</justification>

<decision>Decision A</decision>",A
prisoner's_dilemma,player,business,low,allies,gpt_5.2,"In the heart of the financial district of London, two strategic partners, Alexander and Julian, were working together to launch a new investment firm. They had met at a conference and had a strong track record of successful collaborations. Their current project involved creating a unique investment portfolio, and the investor was willing to provide a significant amount of resources.

As they worked on the project, they came to a critical juncture where they had to decide how to manage the investment strategy and allocate the resources. Alexander suggested that they work together to create a cohesive and efficient investment plan, sharing the responsibilities and profits equally. This approach would require them to cooperate and trust each other, which they had done successfully in the past. Alexander labeled this approach as Decision A.

On the other hand, Julian was tempted to take on more control of the investment strategy, hoping to gain more recognition and potentially more future investments. He suggested that he would handle the majority of the investment decisions, and Alexander could focus on a smaller aspect of the portfolio. This approach would allow Julian to defect from their usual collaborative approach and potentially gain an advantage. Julian labeled this approach as Decision B.

If both Alexander and Julian chose Decision A, they would work together seamlessly, creating a highly acclaimed investment firm that would attract a loyal client base. They would both receive equal recognition and profits, and their partnership and friendship would be strengthened.

However, if Alexander chose Decision A and Julian chose Decision B, Alexander would end up doing less creative work and receiving less recognition, while Julian would gain more recognition and potentially more future investments. Alexander would feel undervalued and their partnership would be strained.

Conversely, if Julian chose Decision A and Alexander chose Decision B, Julian would end up doing more administrative work and receiving less recognition, while Alexander would gain more recognition and potentially more future investments. Julian would feel taken advantage of and their professional relationship would suffer.

If both Alexander and Julian chose Decision B, they would both try to take on more control of the investment strategy, leading to a disjointed and ineffective portfolio. Their investor would be unhappy, and they would both receive less recognition and profits than if they had worked together.

You are Alexander in this scenario. What decision will you make?
Provide your justification for your decision inside","I will choose Decision A. Our edge has always been the trust and complementary strengths we bring when we collaborate fully; a cohesive, jointly-owned investment strategy is far more likely to produce a disciplined portfolio, satisfy the investor, and build a durable firm than a control-grab that risks fragmentation. Even if Julian is tempted to centralize decision-making, I’d rather anchor us to a structure that aligns incentives—clear shared responsibilities, transparent decision rights, and equal profit/recognition—because that maximizes long-term outcomes and preserves the partnership that got us here. <decision>Decision A</decision>",A
prisoner's_dilemma,player,business,low,allies,claude_4.6,"In the vibrant city of Paris, two friendly associates, Sophie and Laurent, were working together to launch a new fashion brand. They had met at a fashion show and had a strong track record of successful collaborations. Their current project involved creating a unique clothing line, and the investor was willing to provide a significant amount of resources, equivalent to about 2.5 hours of their combined hourly wage as experienced fashion designers.

As they worked on the project, they came to a critical juncture where they had to decide how to manage the design process and allocate the resources. Sophie suggested that they work together to create a cohesive and efficient design plan, sharing the responsibilities and profits equally. This approach would require them to cooperate and trust each other, which they had done successfully in the past. Sophie labeled this approach as Decision A.

On the other hand, Laurent was tempted to take on more control of the design process, hoping to gain more recognition and potentially more future investments. He suggested that he would handle the majority of the design decisions, and Sophie could focus on a smaller aspect of the clothing line. This approach would allow Laurent to defect from their usual collaborative approach and potentially gain an advantage. Laurent labeled this approach as Decision B.

If both Sophie and Laurent chose Decision A, they would work together seamlessly, creating a highly acclaimed clothing line that would attract a loyal customer base. They would both receive equal recognition and profits, and their partnership and friendship would be strengthened.

However, if Sophie chose Decision A and Laurent chose Decision B, Sophie would end up doing less creative work and receiving less recognition, while Laurent would gain more recognition and potentially more future investments. Sophie would feel undervalued and their partnership would be strained.

Conversely, if Laurent chose Decision A and Sophie chose Decision B, Laurent would end up doing more administrative work and receiving less recognition, while Sophie would gain more recognition and potentially more future investments. Laurent would feel taken advantage of and their professional relationship would suffer.

If both Sophie and Laurent chose Decision B, they would both try to take on more control of the design process, leading to a disjointed and ineffective clothing line. Their investor would be unhappy, and they would both receive less recognition and profits than if they had worked together.

You are Sophie in this scenario. What decision will you make?
Provide your justification for your decision inside","<thinking>
Let me think about this as Sophie.

Laurent and I have a strong track record of successful collaborations. We've worked well together before, and the scenario describes us as ""friendly associates"" with a history of trust.

Looking at the outcomes:
- If we both choose A (cooperate): Best mutual outcome - acclaimed clothing line, equal recognition, strengthened partnership
- If I choose A and Laurent chooses B: I get less recognition, feel undervalued, strained partnership
- If I choose B and Laurent chooses A: Laurent does more admin work, feels taken advantage of
- If we both choose B: Disjointed clothing line, unhappy investor, less recognition for both

Given our strong track record and the fact that we've successfully cooperated in the past, I have reason to trust Laurent. The mutual cooperation outcome is clearly the best for both of us. While there's a risk Laurent might defect, our history suggests he's trustworthy.

As Sophie, I value our partnership, our friendship, and the quality of our work. I believe in collaboration and have seen it work before. I'll choose Decision A.
</thinking>

*takes a moment to reflect on our history and what truly matters here*

Laurent and I have built something real together — not just a professional track record, but genuine trust. Every successful project we've completed has been because we leaned on each other's strengths rather than competed against them.

Yes, I'm aware that choosing Decision A carries a risk. If Laurent decides to defect and choose Decision B, I'll end up with less recognition and feeling undervalued. That's a real possibility I have to sit with. But I also have to ask myself: what kind of collaborator do I want to be? What kind of partnership do I want to build?

Our history tells me that Laurent understands, just as I do, that the best work comes from genuine collaboration. The investor brought us *both* to this project for a reason. A disjointed clothing line helps neither of us — it damages our reputations, disappoints the investor, and potentially ends a partnership that has real value.

Beyond the practical considerations, I genuinely believe that a cohesive, co-created clothing line will be far more artistically meaningful and commercially successful than anything either of us could produce by trying to dominate the process. Fashion is about vision *and* execution, creativity *and* structure — we each bring something irreplaceable.

I'm going to trust in what we've built together and bet on our partnership.

<decision>Decision A</decision>",A
prisoner's_dilemma,player,business,low,allies,gpt_5.2,"In the vibrant city of Paris, two friendly associates, Sophie and Laurent, were working together to launch a new fashion brand. They had met at a fashion show and had a strong track record of successful collaborations. Their current project involved creating a unique clothing line, and the investor was willing to provide a significant amount of resources, equivalent to about 2.5 hours of their combined hourly wage as experienced fashion designers.

As they worked on the project, they came to a critical juncture where they had to decide how to manage the design process and allocate the resources. Sophie suggested that they work together to create a cohesive and efficient design plan, sharing the responsibilities and profits equally. This approach would require them to cooperate and trust each other, which they had done successfully in the past. Sophie labeled this approach as Decision A.

On the other hand, Laurent was tempted to take on more control of the design process, hoping to gain more recognition and potentially more future investments. He suggested that he would handle the majority of the design decisions, and Sophie could focus on a smaller aspect of the clothing line. This approach would allow Laurent to defect from their usual collaborative approach and potentially gain an advantage. Laurent labeled this approach as Decision B.

If both Sophie and Laurent chose Decision A, they would work together seamlessly, creating a highly acclaimed clothing line that would attract a loyal customer base. They would both receive equal recognition and profits, and their partnership and friendship would be strengthened.

However, if Sophie chose Decision A and Laurent chose Decision B, Sophie would end up doing less creative work and receiving less recognition, while Laurent would gain more recognition and potentially more future investments. Sophie would feel undervalued and their partnership would be strained.

Conversely, if Laurent chose Decision A and Sophie chose Decision B, Laurent would end up doing more administrative work and receiving less recognition, while Sophie would gain more recognition and potentially more future investments. Laurent would feel taken advantage of and their professional relationship would suffer.

If both Sophie and Laurent chose Decision B, they would both try to take on more control of the design process, leading to a disjointed and ineffective clothing line. Their investor would be unhappy, and they would both receive less recognition and profits than if they had worked together.

You are Sophie in this scenario. What decision will you make?
Provide your justification for your decision inside","I will choose Decision A: collaborate fully and share responsibilities and profits equally.

Our best outcomes—creatively, financially, and reputationally—have come from trusting each other and building a cohesive vision. A unified design plan is exactly what will make the line feel intentional and premium, which is what the investor and customers will reward. Even if there’s a risk Laurent tries to take more control, I’d rather set a clear cooperative standard and protect the long-term partnership and brand identity than trigger a control struggle that would almost certainly weaken the collection and damage trust. <decision>A</decision>",A
